Benchmark;Variation in run 1 (%);Variation in run 2 (%);run to run variation (%)
collection.StreamBenchmark.integerStreamForEach;0.23;0.21;1.17
collection.StreamBenchmark.integerStreamForEach;0.16;0.15;1.36
collection.StreamBenchmark.integerStreamForEach;0.17;0.11;20.14
collection.StreamBenchmark.integerStreamForEach;0.15;0.13;0.48
collection.StreamBenchmark.integerStreamForEach;0.19;0.20;0.09
collection.StreamBenchmark.integerStreamForEach;6.69;6.56;0.03
collection.StreamBenchmark.integerStreamForEach;0.69;0.83;0.37
collection.StreamBenchmark.integerStreamForEach;4.24;4.56;0.06
collection.StreamBenchmark.integerStreamForEachParallel;0.44;0.34;1.01
collection.StreamBenchmark.integerStreamForEachParallel;1.76;1.84;0.85
collection.StreamBenchmark.integerStreamForEachParallel;0.13;0.76;0.04
collection.StreamBenchmark.integerStreamForEachParallel;0.24;0.12;1.56
collection.StreamBenchmark.integerStreamForEachParallel;2.55;1.32;1.10
collection.StreamBenchmark.integerStreamForEachParallel;1.50;0.77;0.66
collection.StreamBenchmark.integerStreamForEachParallel;1.58;1.61;0.83
collection.StreamBenchmark.integerStreamForEachParallel;4.70;4.11;0.94
collection.StreamBenchmark.integerStreamGroupBy;0.52;0.47;0.02
collection.StreamBenchmark.integerStreamGroupBy;0.30;0.23;0.04
collection.StreamBenchmark.integerStreamGroupBy;0.14;0.11;0.12
collection.StreamBenchmark.integerStreamGroupBy;0.15;0.18;0.01
collection.StreamBenchmark.integerStreamGroupBy;0.13;0.14;0.22
collection.StreamBenchmark.integerStreamGroupBy;2.13;2.17;0.36
collection.StreamBenchmark.integerStreamGroupBy;0.43;0.50;0.35
collection.StreamBenchmark.integerStreamGroupBy;3.43;3.71;0.50
collection.StreamBenchmark.integerStreamGroupByParallel;0.36;0.37;0.66
collection.StreamBenchmark.integerStreamGroupByParallel;0.40;0.55;0.56
collection.StreamBenchmark.integerStreamGroupByParallel;0.79;1.25;3.19
collection.StreamBenchmark.integerStreamGroupByParallel;0.23;0.16;0.23
collection.StreamBenchmark.integerStreamGroupByParallel;0.38;0.47;0.06
collection.StreamBenchmark.integerStreamGroupByParallel;1.67;2.36;0.61
collection.StreamBenchmark.integerStreamGroupByParallel;0.73;1.38;0.41
collection.StreamBenchmark.integerStreamGroupByParallel;1.53;1.26;0.07
collection.StreamBenchmark.integerStreamMax;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamMax;0.03;0.00;1.97
collection.StreamBenchmark.integerStreamMax;0.02;0.50;5.36
collection.StreamBenchmark.integerStreamMax;0.00;0.01;0.19
collection.StreamBenchmark.integerStreamMax;0.00;0.00;0.16
collection.StreamBenchmark.integerStreamMax;0.65;0.91;0.29
collection.StreamBenchmark.integerStreamMax;1.32;1.39;0.32
collection.StreamBenchmark.integerStreamMax;0.18;0.18;0.20
collection.StreamBenchmark.integerStreamMaxParallel;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamMaxParallel;0.58;0.36;2.64
collection.StreamBenchmark.integerStreamMaxParallel;1.47;0.17;2.84
collection.StreamBenchmark.integerStreamMaxParallel;0.39;0.32;1.84
collection.StreamBenchmark.integerStreamMaxParallel;0.25;0.45;1.39
collection.StreamBenchmark.integerStreamMaxParallel;0.33;0.07;0.46
collection.StreamBenchmark.integerStreamMaxParallel;0.13;0.60;0.68
collection.StreamBenchmark.integerStreamMaxParallel;1.29;0.81;1.71
collection.StreamBenchmark.integerStreamReduceToSum;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamReduceToSum;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamReduceToSum;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamReduceToSum;0.00;0.00;0.04
collection.StreamBenchmark.integerStreamReduceToSum;0.00;0.00;0.04
collection.StreamBenchmark.integerStreamReduceToSum;0.52;0.21;1.80
collection.StreamBenchmark.integerStreamReduceToSum;0.31;0.33;0.20
collection.StreamBenchmark.integerStreamReduceToSum;0.28;0.27;0.07
collection.StreamBenchmark.integerStreamReduceToSumParallel;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamReduceToSumParallel;1.02;0.48;0.82
collection.StreamBenchmark.integerStreamReduceToSumParallel;0.49;0.37;4.10
collection.StreamBenchmark.integerStreamReduceToSumParallel;0.32;0.19;2.81
collection.StreamBenchmark.integerStreamReduceToSumParallel;0.34;0.37;0.81
collection.StreamBenchmark.integerStreamReduceToSumParallel;0.60;0.61;1.15
collection.StreamBenchmark.integerStreamReduceToSumParallel;1.81;1.67;1.10
collection.StreamBenchmark.integerStreamReduceToSumParallel;1.61;1.68;0.58
collection.StreamBenchmark.integerStreamSum;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamSum;0.00;0.21;0.09
collection.StreamBenchmark.integerStreamSum;0.07;0.00;0.02
collection.StreamBenchmark.integerStreamSum;0.01;0.01;0.11
collection.StreamBenchmark.integerStreamSum;0.00;0.00;0.03
collection.StreamBenchmark.integerStreamSum;4.76;2.98;7.04
collection.StreamBenchmark.integerStreamSum;3.97;4.30;1.73
collection.StreamBenchmark.integerStreamSum;0.09;0.09;15.34
collection.StreamBenchmark.integerStreamSumParallel;0.00;0.00;0.00
collection.StreamBenchmark.integerStreamSumParallel;0.42;0.51;0.93
collection.StreamBenchmark.integerStreamSumParallel;1.67;0.44;3.78
collection.StreamBenchmark.integerStreamSumParallel;0.51;0.34;2.02
collection.StreamBenchmark.integerStreamSumParallel;0.14;0.14;1.29
collection.StreamBenchmark.integerStreamSumParallel;0.13;0.06;1.32
collection.StreamBenchmark.integerStreamSumParallel;0.13;0.17;2.24
